Word,Count
the,87
to,51
/,35
assembly,35
is,27
this,26
in,23
of,22
an,22
Version,21
following,20
for,17
a,16
set,16
attribute,15
you,15
values,14
information,14
Build,14
Revision,14
ComVisible,14
type,14
can,14
COM,13
by,12
or,12
if,12
<summary>,11
</summary>,11
and,11
using,9
resource,9
not,9
file,8
all,8
project,8
with,8
as,8
[assembly:,8
true,7
components,7
modify,7
Setting,7
visible,7
four,7
default,7
makes,7
attributes,7
\AssemblyVersion("\1.0.*"\)]\,7
Number,7
about,7
types,7
Change,7
associated,7
on,7
through,7
these,7
below:,7
consists,7
Information,7
shown,7
controlled,7
false,7
need,7
specify,7
If,7
'*',7
access,7
values:,7
Major,7
Minor,7
from,7
that,7
\COM,\,7
General,7
You,7
Numbers,7
code,6
ID,6
------------------------------------------------------------------------------,6
typelib,6
GUID,6
The,6
exposed,6
This,5
was,4
tool,4
your,4
class,4
are,4
sequences,4
will,3
<auto-generated>,3
incorrect,3
behavior,3
lost,3
regenerated,3
Version:4.0.30319.42000,3
Runtime,3
cause,3
Changes,3
be,3
found,3
</auto-generated>,3
generated,3
may,3
logic,2
InitializeComponent,2
Interaction,2
below,2
buffer,2
specific,2
dictionaries),2
added,2
\page,\,2
where,2
(used,2
source,2
theme,2
located,2
ResGen,2
collection,1
any,1
while,1
auto-generated,1
VS,1
one,1
Application,1
dummy,1
current,1
\Ok,\,1
one..,1
already,1
<UICulture>,1
\example,\,1
\strings,\,1
\option,\,1
ResourceManager,1
localizable,1
\files,\,1
distribute,1
find,1
dictionaries,1
my,1
\honestly,\,1
I'm,1
begin,1
then,1
inside,1
ass,1
CurrentUICulture,1
getting,1
task,1
rerun,1
<PropertyGroup>,1
like,1
building,1
UltimateResourceFallbackLocation.Satellite)],1
if(buffer.),1
how,1
.csproj,1
App.xaml,1
StronglyTypedResourceBuilder,1
\member,\,1
infos,1
dictionary,1
add,1
property,1
line,1
match,1
without,1
up,1
InitializeComponent();,1
\class,\,1
MainWindow.xaml,1
another,1
localized,1
\applications,\,1
NeutralResourceLanguage,1
strongly,1
App,1
en-US,1
Update,1
setting,1
I,1
etc,1
Point,1
uncomment,1
distribution,1
Then,1
needed,1
Visual,1
shit,1
accessors,1
For,1
MainWindow,1
want,1
class',1
thread's,1
trying,1
\"\en-US"\\,1
lookups,1
remove,1
<UICulture>CultureYouAreCodingWith</UICulture>,1
To,1
cached,1
Currently,1
rebuild,1
US,1
A,1
via,1
english,1
instance,1
used,1
typed,1
don't,1
.ResX,1
Overrides,1
many,1
looking,1
\app,\,1
In,1
generic,1
edit,1
Entry,1
strongly-typed,1
order,1
application,1
knowing,1
\NeutralResourcesLanguage("\en-US"\,\,1
After,1
number,1
sweat,1
Studio,1
UICulture,1
Returns,1
/str,1
there,1
